Cooling Unit Error: Check connection cable
N/A
Cabinet
Signals from Cooling Unit
Alarm Activated:
No
Door Sensor:
CLOSED
Water Sensor:
OK
Smoke Sensor:
OK
Events Log
Log Entries: 1429
Refresh Log
Timestamp	Reporter	Target	Type	Event
2025-06-25 14:52:32	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-25 13:13:33	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-25 12:42:27	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-25 10:52:52	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-25 08:50:24	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-06-25 07:50:46	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-25 07:13:32	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-25 05:33:02	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-24 14:29:22	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-06-24 14:08:41	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-24 13:37:33	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-24 12:33:02	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-24 10:36:33	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-24 09:48:41	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-24 07:45:03	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-06-24 07:25:39	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-24 05:30:06	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-23 17:38:23	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-23 15:48:43	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-06-23 15:27:43	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-23 13:47:25	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-06-23 13:02:36	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-06-23 12:38:56	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-23 11:07:08	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-06-23 10:43:28	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-23 09:23:50	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-06-23 08:56:33	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-06-23 08:23:39	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-22 10:02:49	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-21 12:22:29	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-21 09:31:27	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-21 08:43:47	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-06-21 07:32:13	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
